"Time","EventSeriesID","TaskType","ObjectType","ObjectName","ObjectID","Warning"
,,,,,,
"2021-08-24T17:43:08.441Z","34d4a4a8-1f85-450d-9d5b-4ffd7f8036c9","Backup","VmwareVm","am1-jakerobi-w1","VirtualMachine:::5ed1b046-0bd9-4468-a67c-3293f15f27ed-vm-1476551","Cannot establish a connection with the Rubrik Backup Service. Reason: Failed to retrieve certificate from VM am1-jakerobi-w1"
"2021-08-24T17:43:08.441Z","34d4a4a8-1f85-450d-9d5b-4ffd7f8036c9","Backup","VmwareVm","am1-jakerobi-w1","VirtualMachine:::5ed1b046-0bd9-4468-a67c-3293f15f27ed-vm-1476551","Cannot find a guest credential that permits a VSS consistent snapshot on this virtual machine. Taking a crash consistent snapshot instead"
"2021-08-24T18:18:28.312Z","432b5b8f-dea1-4060-a625-dbfb874cd556","Backup","VmwareVm","am1-branphil-w1","VirtualMachine:::5ed1b046-0bd9-4468-a67c-3293f15f27ed-vm-1636168","Cannot establish a connection with the Rubrik Backup Service. Reason: Failed to retrieve certificate from VM am1-branphil-w1"
"2021-08-24T18:18:28.312Z","432b5b8f-dea1-4060-a625-dbfb874cd556","Backup","VmwareVm","am1-branphil-w1","VirtualMachine:::5ed1b046-0bd9-4468-a67c-3293f15f27ed-vm-1636168","Cannot find a guest credential that permits a VSS consistent snapshot on this virtual machine. Taking a crash consistent snapshot instead"
"2021-08-24T18:25:43.020Z","31640dbf-9d72-4256-942c-c719fe63fcfc","Backup","VmwareVm","am1-aarolewi-windedupe 08-05 00:00 0","VirtualMachine:::5ed1b046-0bd9-4468-a67c-3293f15f27ed-vm-1624215","Cannot establish a connection with the Rubrik Backup Service. Reason: Failed to get network address of vm: am1-aarolewi-windedupe 08-05 00:00 0"
"2021-08-24T18:25:43.020Z","31640dbf-9d72-4256-942c-c719fe63fcfc","Backup","VmwareVm","am1-aarolewi-windedupe 08-05 00:00 0","VirtualMachine:::5ed1b046-0bd9-4468-a67c-3293f15f27ed-vm-1624215","Cannot find a guest credential that permits a VSS consistent snapshot on this virtual machine. Taking a crash consistent snapshot instead"
"2021-08-24T19:03:50.535Z","c9fc494c-25ec-44cc-82cc-812a5dc1fb34","Backup","LinuxFileset","usr","Fileset:::17f24c6a-0437-4319-8f4c-24db1604b375","Encountered 1 errors while performing metadata scan for fileset 'usr' on 'am1-shanalle-l1.rubrikdemo.com'."
"2021-08-24T19:04:55.720Z","02da133c-dd6b-4266-bab4-6d734468a2d3","Backup","LinuxFileset","Linux Physical Host Fileset","Fileset:::2e0c651c-cba7-4bfe-a9f6-d41c6145d208","Encountered 40 errors while performing metadata scan for fileset 'Linux Physical Host Fileset' on 'am1-deviderr-l1'."
"2021-08-24T19:04:55.720Z","02da133c-dd6b-4266-bab4-6d734468a2d3","Backup","LinuxFileset","Linux Physical Host Fileset","Fileset:::2e0c651c-cba7-4bfe-a9f6-d41c6145d208","Found 1 errors while retrieving data for fileset 'Linux Physical Host Fileset' from 'am1-deviderr-l1'."
"2021-08-24T19:06:15.169Z","8d1902cd-7069-4429-b2f7-9f0bd863e775","Backup","LinuxFileset","etc","Fileset:::44343b48-9bc7-4e94-9b79-393ca0cae3b9","Encountered 1 errors while performing metadata scan for fileset 'etc' on 'am1-shanalle-l1.rubrikdemo.com'."
"2021-08-24T19:06:59.232Z","4f2a72d0-36e4-4408-9fee-cad989057118","Backup","LinuxFileset","Everything","Fileset:::57364542-22a2-43e3-bcaa-4d7b2c23bf28","Encountered 40 errors while performing metadata scan for fileset 'Everything' on 'am1-maulmodi-l1'."
"2021-08-24T19:06:59.232Z","4f2a72d0-36e4-4408-9fee-cad989057118","Backup","LinuxFileset","Everything","Fileset:::57364542-22a2-43e3-bcaa-4d7b2c23bf28","Found 3 errors while retrieving data for fileset 'Everything' from 'am1-maulmodi-l1'."
"2021-08-24T19:08:44.399Z","df9a73f9-d118-4f84-89aa-4db355be4947","Backup","Mssql","ePO_AM1-IMRAAHME-W1","MssqlDatabase:::4deecac3-9390-4039-9510-b8f57031d77e","Database 'am1-imraahme-w1\SQLEXPRESS\ePO_AM1-IMRAAHME-W1' has auto close enabled. Disable auto close to prevent potential backup failures."
"2021-08-24T19:07:13.261Z","0215a4fe-38c0-4bd8-8b28-1b8ed7d72cb8","Backup","LinuxFileset","Rizzinisxs","Fileset:::5a707a29-e90d-44fd-8826-da2562944522","Encountered 40 errors while performing metadata scan for fileset 'Rizzinisxs' on 'am1-chricarl-l1'."
